Description,average,sd,total_sales,total_revenue,avg_unit_price,product_mix,service_level,lead_time_days,lead_time_sd_days,ordering_cost_per_order,holding_rate,unit_cost,unit_cost_is_real,safety_stock_fixed_leadtime,reorder_point_fixed_leadtime,safety_stock_variable_leadtime,reorder_point_variable_leadtime,demand_lead_time,safety_stock_uplift_pct,safety_stock_investment,annual_demand,eoq_units,eoq_order_cycle_weeks,eoq_practical_units,annual_ordering_cost,annual_holding_cost,annual_logistics_cost
Travel Sewing Kit,10.0,0.0,20,33.0,1.65,A_A,0.95,23.0,6.5,73.22,0.296,1.0775,True,0.0,230.0,106.9154857518457,336.9154857518457,230.0,,115.20143589761372,3650.0,1294.5588480827869,18.443030164467103,1123.076923076923,206.44329950376206,206.44329950376198,4345.761599007524
Hi Tec Alpine Hand Warmer,12.0,0.0,12,19.799999999999997,1.6499999999999997,A_A,0.95,17.0,5.3,38.91,0.284,1.0989,True,0.0,204.0,104.61269067411364,308.61269067411365,204.0,,114.95888578178348,4380.0,1045.0676677586955,12.407196055582688,673.8461538461539,163.0763301342043,163.0763301342043,5139.334660268409
Sweetheart Cakestand Tier,5.0,0.0,5,49.75,9.95,C_A,0.8,25.0,4.3,74.96,0.25,6.3481,True,0.0,125.0,18.094856521817658,143.09485652181766,125.0,,114.86795868615067,1825.0,415.2114651568752,11.830682842826034,280.7692307692308,329.47548774529497,329.4754877452949,12244.23347549059
Colour Spaceboy Pen,24.0,0.0,24,20.4,0.85,A_A,0.95,22.0,5.6,68.74,0.275,0.5117,True,0.0,528.0,221.06832746227784,749.0683274622778,528.0,,113.12066316244758,8760.0,2925.484216885448,17.365888045438734,2695.3846153846157,205.83341264478904,205.83341264478904,4894.158825289578
Blue Spot Ceramic Drawer Knob,12.0,0.0,24,32.4,1.3499999999999999,A_A,0.95,23.0,6.5,60.19,0.293,0.8788,True,0.0,276.0,128.29858290221483,404.29858290221483,276.0,,112.7487946544664,4380.0,1430.9860183496976,16.98887510369504,1347.6923076923078,184.23115014361713,184.23115014361713,4217.606300287234
Dolly Pegs Retrospot,20.0,0.0,20,29.0,1.45,A_A,0.95,22.0,4.6,59.29,0.298,0.7412333333333333,True,0.0,440.0,151.32653367953543,591.3265336795355,440.0,,112.16827098106097,7300.0,1979.618712457217,14.101393568188396,1123.076923076923,218.63654716759197,218.63654716759194,5848.2764276685175
Turq+Red Boudicca Large Bracelet,6.0,0.0,6,41.7,6.95,C_A,0.8,21.0,6.4,27.7,0.3,3.4403,True,0.0,126.0,32.31825536919991,158.3182553691999,126.0,,111.18449394665845,2190.0,342.86105306969466,8.140993040924258,336.92307692307696,176.9317321313506,176.93173213135057,7888.120464262702
Angel Decoration Painted Zinc,24.0,0.0,24,15.600000000000001,0.65,A_B,0.95,22.0,7.2,33.57,0.292,0.3867,True,0.0,528.0,284.2307067372144,812.2307067372144,528.0,,109.91201429528081,8760.0,2282.255223705005,13.547633748020576,1347.6923076923078,128.8520218709819,128.8520218709819,3645.1960437419634
Foil Heart Cake Cases,8.0,3.4641016151377544,24,50.400000000000006,2.1,A_A,0.95,19.0,5.3,43.44,0.234,1.4784,True,24.836745107476425,176.83674510747642,74.03230178488525,226.03230178488525,152.0,198.07569979288408,109.44935495877435,2920.0,856.3423575429591,15.249932394600643,449.2307692307693,148.1239353428068,148.12393534280676,4613.1758706856135
Red Harmonica In Box,12.0,0.0,24,30.0,1.25,A_A,0.95,20.0,6.1,72.4,0.24,0.9062,True,0.0,240.0,120.40328549284774,360.4032854928478,240.0,,109.10945731361862,4380.0,1707.6689678934915,20.2736955092378,1347.6923076923078,185.69875424460983,185.69875424460983,4340.55350848922
Le Grand Tray Chic,3.0,0.0,3,37.5,12.5,C_A,0.8,22.0,4.9,24.94,0.238,8.75,True,0.0,66.0,12.37183213352184,78.37183213352183,66.0,,108.2535311683161,1095.0,161.94881588819055,7.690720023914071,84.23076923076924,168.62920454357837,168.62920454357842,9918.508409087157
Gift Tags S Christmas,12.0,0.0,48,39.839999999999996,0.83,A_A,0.95,44.0,11.8,51.28,0.302,0.4615,True,0.0,528.0,232.91127357632845,760.9112735763284,528.0,,107.48855275547558,4380.0,1795.298785871141,21.31404951262542,1347.6923076923078,125.10808884160927,125.10808884160927,2271.5861776832185
Children S Circus Parade Mug,12.0,0.0,12,19.799999999999997,1.6499999999999997,A_A,0.95,23.0,5.7,39.02,0.316,0.952,True,0.0,276.0,112.50798808348071,388.5079880834807,276.0,,107.10760465547364,4380.0,1065.9422346306612,12.655021963651686,673.8461538461539,160.33476716420554,160.33476716420554,4490.429534328411
White Goose Feather Tree,12.0,0.0,12,23.4,1.95,A_A,0.95,16.0,4.4,27.17,0.291,1.2148,True,0.0,192.0,86.84827150303774,278.8482715030377,192.0,,105.50328022189025,4380.0,820.5366541658151,9.741531054023376,673.8461538461539,145.032643448432,145.032643448432,5610.889286896864
Cutlery Pantry,2.0,0.0,2,31.9,15.95,C_A,0.8,21.0,6.3,28.97,0.232,9.7933,True,0.0,42.0,10.60442754301872,52.604427543018716,42.0,,103.85234025704523,730.0,136.4401391895225,9.719023613500234,112.30769230769232,154.9991089544711,154.9991089544711,7459.107217908942
Ice Cream Bubbles,20.0,0.0,20,16.599999999999998,0.8299999999999998,A_B,0.95,19.0,6.4,28.71,0.285,0.4872,True,0.0,380.0,210.54126424978844,590.5412642497885,380.0,,102.57570394249693,7300.0,1737.4685587029203,12.376488363363269,1123.076923076923,120.62549215650894,120.62549215650894,3797.810984313018
Wrap S Christmas,25.0,0.0,75,31.5,0.42,A_A,0.95,35.0,10.1,39.55,0.291,0.2457,True,0.0,875.0,415.3255408052467,1290.3255408052466,875.0,,102.04548537584911,9125.0,3177.2808527812563,18.106148421328804,2807.6923076923076,113.58572525437559,113.5857252543756,2469.183950508751
Kids Rain Mac Pink,24.0,0.0,24,20.4,0.85,A_A,0.95,28.0,4.7,41.46,0.288,0.5491,True,0.0,672.0,185.5394891201261,857.5394891201261,672.0,,101.87973347586124,8760.0,2143.185360473098,12.722104879520673,1347.6923076923078,169.46252372675204,169.46252372675207,5149.041047453504
Ivory Cafe Hanging Lamp,2.0,0.0,2,25.0,12.5,C_A,0.8,34.0,7.3,31.43,0.267,8.275,True,0.0,68.0,12.287670010164549,80.28767001016455,68.0,,101.68046933411165,730.0,144.11493377173255,10.265721309767251,112.30769230769232,159.20556877430516,159.20556877430514,6359.16113754861
Plasters In Tin Woodland Animals,12.0,0.0,24,39.599999999999994,1.6499999999999997,A_A,0.95,15.0,4.3,60.230000000000004,0.226,1.1896,True,0.0,180.0,84.87444715069597,264.87444715069597,180.0,,100.96664233046792,4380.0,1400.8892005931648,16.63156128558095,1347.6923076923078,188.3142506118961,188.31425061189609,5587.076501223793
Dolly Girl Childrens Cup,10.666666666666666,4.618802153517006,32,40.0,1.25,A_A,0.95,26.0,7.7,37.56,0.281,0.715,True,38.73854371559316,316.07187704892647,140.54166026469042,417.8749935980237,277.3333333333333,262.79541455276535,100.48728708925364,3893.333333333333,1206.5141031145715,16.114400692283663,1197.948717948718,121.2033905136321,121.20339051363207,3026.140114360597
Childrens Toy Cooking Utensil,6.0,0.0,12,24.96,2.08,A_A,0.95,27.0,7.8,52.87,0.278,1.2958,True,0.0,162.0,76.9791497413289,238.9791497413289,162.0,,99.74958223481399,2190.0,801.7709647253741,19.037484093935827,673.8461538461539,144.4119394366685,144.41193943666846,3126.625878873337
Heart Shape Petit Four Cases,16.0,0.0,16,26.4,1.65,A_A,0.95,16.0,3.6,36.3,0.217,1.0527,True,0.0,256.0,94.7435689124048,350.7435689124048,256.0,,99.73655499408852,5840.0,1362.3621068168977,12.13062149905457,898.4615384615386,155.60620699830713,155.60620699830707,6458.9804139966145
Retrospot Party Bag + Sticker,12.75,13.04798835069989,51,84.14999999999999,1.65,A_A,0.95,13.0,3.3,69.73,0.19,0.9603,True,77.38245311294204,243.13245311294204,103.81561946664728,269.56561946664726,165.75,34.15912172637539,99.69413937382139,4653.75,1886.0191154168053,21.07397131381657,1431.923076923077,172.05869487080201,172.05869487080204,4813.113514741604
Christmas Table Silver Candle Spike,16.0,0.0,16,13.28,0.83,A_B,0.95,30.0,7.6,30.67,0.329,0.4972,True,0.0,480.0,200.01420103729902,680.014201037299,480.0,,99.44706075574507,5840.0,1479.8401305654195,13.176658696815378,898.4615384615386,121.03523637486728,121.03523637486732,3145.7184727497342
Pink/White Christmas Tree,24.0,0.0,24,15.600000000000001,0.65,A_B,0.95,30.0,5.7,31.92,0.326,0.4335,True,0.0,720.0,225.01597616696142,945.0159761669614,720.0,,97.54442566837777,8760.0,1989.2764501724998,11.808490343489726,1347.6923076923078,140.56326860741396,140.56326860741393,4078.586537214828
Wood Stamp Flowers,12.0,0.0,12,9.959999999999999,0.83,A_C,0.95,28.0,9.1,51.74,0.265,0.5395,True,0.0,336.0,179.61801606310075,515.6180160631008,336.0,,96.90391966604285,4380.0,1780.518964680573,21.13858131584242,1347.6923076923078,127.2781725414849,127.2781725414849,2617.5663450829697
Childrens Cutlery Dolly Girl,4.0,0.0,16,66.4,4.15,A_A,0.95,31.0,5.8,46.18,0.312,2.5315,True,0.0,124.0,38.16060414527416,162.16060414527416,124.0,,96.60356939376152,1460.0,413.192211964624,14.71643494668524,224.61538461538464,163.17538919579755,163.17538919579752,4022.340778391595
Brocade Ring Purse,54.0,25.45584412271571,108,42.120000000000005,0.39000000000000007,A_A,0.95,20.0,5.1,56.88,0.323,0.1958,True,187.25341963520066,1267.2534196352008,490.1695822140494,1570.1695822140493,1080.0,161.76802707741064,95.97520419751088,19710.0,5954.297075380441,15.708952202931657,3032.3076923076924,188.28499582855778,188.2849958285577,4235.7879916571155
Plasters In Tin Spaceboy,12.0,0.0,60,98.99999999999999,1.6499999999999997,A_A,0.95,17.0,4.2,63.42,0.237,1.1369,True,0.0,204.0,82.90062279835419,286.9006227983542,204.0,,94.24971805944888,4380.0,1435.9187473290299,17.047437182901724,1347.6923076923078,193.45077882484733,193.45077882484733,5366.523557649695
Spaceboy Napkins,24.0,0.0,24,20.4,0.85,A_A,0.95,23.0,4.5,49.96,0.296,0.5304,True,0.0,552.0,177.644191710759,729.6441917107591,552.0,,94.22247928338658,8760.0,2361.188462949093,14.016187222985481,1347.6923076923078,185.3514053907334,185.35140539073342,5017.006810781467
Traditional Knitting Nancy,12.0,0.0,12,19.799999999999997,1.6499999999999997,A_A,0.95,15.0,4.5,77.38,0.215,1.0602,True,0.0,180.0,88.8220958553795,268.82209585537953,180.0,,94.16918602587334,4380.0,1724.460638505564,20.473048676321763,1347.6923076923078,196.53936566143688,196.5393656614369,5036.754731322874
Dove Decoration Painted Zinc,96.0,0.0,96,18.240000000000002,0.19000000000000003,A_B,0.95,16.0,5.1,53.31,0.3,0.1168,True,0.0,1536.0,805.3203357554407,2341.3203357554407,1536.0,,94.06141521623547,35040.0,10325.696102442682,15.323521613214025,5390.769230769231,180.9061957147958,180.90619571479579,4454.484391429592
I Love London Beaker,18.0,8.48528137423857,36,45.0,1.25,A_A,0.95,22.0,3.5,27.63,0.278,0.7625,True,65.46434778783895,461.46434778783896,122.5719494851568,518.5719494851568,396.0,87.23466073838514,93.46111148243205,6570.0,1308.7171785297755,10.358187714390917,1010.7692307692308,138.70766195942457,138.70766195942457,5287.040323918849
Danish Rose Trinket Trays,16.0,0.0,16,12.64,0.79,A_B,0.95,24.0,7.1,35.0,0.271,0.5001,True,0.0,384.0,186.85537202168723,570.8553720216872,384.0,,93.44637154804578,5840.0,1736.7702483525518,15.464392622317243,898.4615384615386,117.68971756275057,117.68971756275057,3155.963435125501
Colour Mini Cases,4.0,0.0,4,31.8,7.95,C_A,0.8,19.0,5.1,67.8,0.246,5.3663,True,0.0,76.0,17.16907316488745,93.16907316488745,76.0,,92.13439732473552,1460.0,387.25875517431194,13.792777581550837,224.61538461538464,255.612038920705,255.61203892070495,8346.02207784141
Heart String Memo Holder Hanging,24.0,0.0,24,18.96,0.79,A_B,0.95,26.0,5.2,51.04,0.296,0.4448,True,0.0,624.0,205.27773264354371,829.2777326435437,624.0,,91.30753547984824,8760.0,2606.118378754737,15.470109097630859,1347.6923076923078,171.56181532077585,171.56181532077582,4239.571630641552
Hand Warmer Babushka,12.0,0.0,12,25.200000000000003,2.1,A_A,0.95,16.0,3.6,72.21,0.287,1.2831,True,0.0,192.0,71.0576766843036,263.0576766843036,192.0,,91.17410495362995,4380.0,1310.6282499509068,15.55997009074136,673.8461538461539,241.31922992797317,241.3192299279732,6102.616459855945
Traditional Naughts & Crosses,12.0,0.0,12,19.799999999999997,1.6499999999999997,A_A,0.95,21.0,4.5,40.79,0.289,1.0246,True,0.0,252.0,88.8220958553795,340.82209585537953,252.0,,91.00711941342183,4380.0,1098.5069491095348,13.041635012259318,673.8461538461539,162.63911679832745,162.63911679832742,4813.0262335966545
Knickerbockerglory Magnet,24.0,12.0,72,59.76,0.83,A_A,0.95,18.0,3.9,54.1,0.295,0.5154,True,83.7422750647205,515.7422750647205,175.259597776005,607.259597776005,432.0,109.28449536456348,90.32879669375296,8760.0,2496.7925992908667,14.821143283461765,1347.6923076923078,189.8099185869906,189.80991858699062,4894.523837173981
Light Garland Butterfiles Pink,4.0,0.0,4,17.0,4.25,C_B,0.8,30.0,9.9,36.0,0.297,2.6775,True,0.0,120.0,33.32820084948741,153.32820084948742,120.0,,89.23625777450255,1460.0,363.5797709407231,12.94941649925863,224.61538461538464,144.56249824902721,144.56249824902724,4198.274996498055
Retrospot Paper Doilies,14.666666666666666,4.618802153517006,44,63.8,1.45,A_A,0.95,14.0,4.2,51.43,0.244,0.841,True,28.426319581621826,233.75965291495515,105.23498759504267,310.568320928376,205.33333333333331,270.20264720825537,88.50262456743089,5353.333333333333,1638.107851969715,15.911881999207694,823.5897435897435,168.0731418277967,168.0731418277967,4838.299616988927
Red Refectory Clock,3.0,1.4142135623730951,6,59.699999999999996,9.95,C_A,0.8,22.0,5.1,35.28,0.273,6.2287,True,5.582683694714841,71.58268369471485,14.03490153117195,80.03490153117195,66.0,151.40062197073556,87.41919116721073,1095.0,213.16029625004722,10.12268073516206,168.46153846153848,181.2326248349894,181.23262483498937,7182.891749669979
Doormat Welcome To Our Home,3.0,1.4142135623730951,6,49.5,8.25,C_A,0.8,20.0,6.4,60.92,0.264,5.10724,True,5.322880050501961,65.32288005050196,17.01324365190943,77.01324365190943,60.0,219.62478001556764,86.89071850877792,1095.0,314.56247117307595,14.938126484931459,168.46153846153848,212.0640766561654,212.0640766561654,6016.555953312331
Round Container Retrospot,12.0,0.0,12,19.799999999999997,1.6499999999999997,A_A,0.95,22.0,4.2,55.89,0.24099999999999996,1.0263,True,0.0,264.0,82.90062279835419,346.9006227983542,264.0,,85.0809091779509,4380.0,1406.9330191118484,16.7033143821498,1347.6923076923078,173.99421058049603,173.994210580496,4843.182421160992
Pantry Chopping Board,3.6,1.3416407864998738,18,89.10000000000001,4.95,A_A,0.95,20.0,4.0,33.64,0.275,3.2769,True,9.869121761708833,81.86912176170884,25.659716580442964,97.65971658044296,72.0,160.0,84.08432526245355,1314.0,313.2151301579414,12.395119306098138,202.15384615384616,141.12651575200175,141.12651575200178,4588.099631504003
Vintage Christmas Stocking,6.0,0.0,6,15.299999999999999,2.55,C_B,0.8,37.0,11.7,47.72,0.316,1.4203,True,0.0,222.0,59.08181059681857,281.08181059681857,222.0,,83.91389559066141,2190.0,682.4230507474751,16.20365234651539,673.8461538461539,153.14078251830895,153.14078251830895,3416.7385650366177
Rocking Horse Green Christmas,12.0,0.0,12,10.2,0.85,A_C,0.95,38.0,8.6,52.47,0.322,0.4896,True,0.0,456.0,169.74889430139194,625.7488943013919,456.0,,83.1090586499615,4380.0,1707.4930504557751,20.271606991712396,1347.6923076923078,134.59416419800672,134.59416419800675,2413.6363283960136
Blue Mini Dots Cutlery,8.0,0.0,8,33.2,4.15,B_A,0.7,22.0,7.4,54.13,0.243,2.66625,True,0.0,176.0,31.04451035231601,207.04451035231602,176.0,,82.77242572686255,2920.0,698.5087746384092,12.439197356574411,449.2307692307693,226.28148097612848,226.2814809761285,8238.012961952256
Jingle Bell Heart Antique Silver,12.0,0.0,36,74.88,2.08,A_A,0.95,19.0,3.1,35.94,0.298,1.352,True,0.0,228.0,61.18855492259477,289.1885549225948,228.0,,82.72692625534813,4380.0,883.9844217882678,10.494792222143818,673.8461538461539,178.07689380040296,178.07689380040298,6277.913787600806
Woodland Tissues,36.0,16.97056274847714,72,25.68,0.3566666666666667,A_A,0.95,21.0,6.3,68.8,0.23700000000000002,0.20869999999999997,True,127.91843811729821,883.9184381172983,394.3748474897428,1150.374847489743,756.0,208.30180018936,82.30603067110931,13140.0,6046.046764796852,23.926516877430462,4043.0769230769233,149.52448023785269,149.52448023785269,3041.366960475705
Regency Teapot Roses,2.0,0.0,4,39.8,9.95,C_A,0.8,22.0,7.2,69.17,0.271,6.7759,True,0.0,44.0,12.119345763449966,56.119345763449964,44.0,,82.11947495856062,730.0,234.51313710171323,16.70504538258779,224.61538461538464,215.31459015065607,215.31459015065607,5377.036180301312
Lunch Bag Woodland,10.0,0.0,30,49.5,1.65,A_A,0.95,15.0,4.5,64.93,0.227,1.0989,True,0.0,150.0,74.01841321281624,224.01841321281626,150.0,,81.33883427956377,3650.0,1378.4534865825035,19.63824145268224,1123.076923076923,171.9278178820257,171.92781788202575,4354.8406357640515
Lunch Bag Apple,10.0,0.0,20,33.0,1.65,A_A,0.95,15.0,4.1,57.17,0.212,1.1929,True,0.0,150.0,67.43899870501036,217.43899870501036,150.0,,80.44798155520687,3650.0,1284.6226539725963,18.301473426458905,1123.076923076923,162.43719457593448,162.43719457593448,4678.959389151869
Memo Board Cottage,5.333333333333333,2.309401076758503,16,79.2,4.95,A_A,0.95,12.0,2.7,75.34,0.24699999999999997,2.9453,True,13.158829015611776,77.15882901561177,27.095687326645383,91.09568732664539,64.0,105.91260281974004,79.80492788316865,1946.6666666666665,634.9804534321505,16.961806632776625,598.974358974359,230.97067929247356,230.9706792924735,6195.45869191828
Small Square Cut Glass Candlestick,5.0,0.0,5,24.75,4.95,C_A,0.8,26.0,6.1,33.1,0.234,3.1086,True,0.0,130.0,25.669447623973884,155.6694476239739,130.0,,79.79604488388522,1825.0,407.53984794109755,11.612094297499766,280.7692307692308,148.2247694432344,148.22476944323444,5969.644538886469
Doormat Fancy Font Home Sweet Home,10.0,0.0,10,67.5,6.75,B_A,0.7,21.0,3.7,59.99,0.281,4.104,True,0.0,210.0,19.402818970197504,229.4028189701975,210.0,,79.62916905369056,3650.0,616.2316852813651,8.779191132775614,561.5384615384615,355.3265845134586,355.32658451345856,15690.253169026917
Pink Disco Handbag,12.0,0.0,12,23.4,1.95,A_A,0.95,14.0,3.2,24.27,0.267,1.2597,True,0.0,168.0,63.16237927493654,231.16237927493654,168.0,,79.56564917263756,4380.0,795.0560485081577,9.439021580462146,673.8461538461539,133.70453592481445,133.70453592481445,5784.895071849629
Red Stripe Ceramic Drawer Knob,12.0,0.0,24,34.8,1.45,A_A,0.95,16.0,4.7,69.78,0.284,0.84625,True,0.0,192.0,92.76974456006305,284.76974456006303,192.0,,78.50639633395335,4380.0,1594.8102739350388,18.93382060379498,1347.6923076923078,191.6443635930887,191.64436359308874,4089.863727186177
Mushroom Cake Cases,24.0,0.0,48,26.400000000000002,0.55,A_A,0.95,17.0,5.3,71.67,0.213,0.3746,True,0.0,408.0,209.22538134822727,617.2253813482273,408.0,,78.37582785304593,8760.0,3966.9987617257607,23.548394475997664,2695.3846153846157,158.26301889917303,158.26301889917303,3598.022037798346
Fridge Magnets Us Diner,24.0,0.0,24,20.4,0.85,A_A,0.95,18.0,3.6,42.1,0.291,0.5508,True,0.0,432.0,142.1153533686072,574.1153533686072,432.0,,78.27713663542885,8760.0,2145.184441885579,12.733971572836769,1347.6923076923078,171.91808443092887,171.9180844309289,5168.844168861858
Childrens Cutlery Spaceboy,8.0,0.0,8,33.2,4.15,B_A,0.7,25.0,7.4,64.16,0.293,2.5191,True,0.0,200.0,31.04451035231601,231.04451035231602,200.0,,78.20422602851926,2920.0,712.4954365178426,12.688274896893086,449.2307692307693,262.9451227303522,262.94512273035224,7881.662245460704
Baking Mould Rose Milk Chocolate,6.0,0.0,6,19.5,3.25,C_B,0.8,21.0,7.1,23.88,0.264,2.1775,True,0.0,126.0,35.85306455020614,161.85306455020614,126.0,,78.07004805807388,2190.0,426.5531674178165,10.128203061975551,336.92307692307696,122.60417691090299,122.604176910903,5013.933353821806
Pencils Tube Skulls,16.0,0.0,16,20.0,1.25,A_A,0.95,12.0,3.8,66.62,0.248,0.7788,True,0.0,192.0,100.00710051864951,292.0071005186495,192.0,,77.88552988392424,5840.0,2007.1735426133866,17.872093187653444,1796.9230769230771,193.83515761842588,193.8351576184259,4935.862315236852
Spaceboy Childrens Cup,10.666666666666666,4.618802153517006,32,40.0,1.25,A_A,0.95,27.0,5.5,54.029999999999994,0.276,0.7462,True,39.47648704683533,327.47648704683536,104.26059834221498,392.26059834221496,288.0,164.10809608899362,77.79925848296081,3893.333333333333,1429.2595812252587,19.089425913625032,1197.948717948718,147.17886293241972,147.17886293241975,3199.5630591981726
Four Hook White Lovebirds,6.0,0.0,6,12.600000000000001,2.1,C_B,0.8,37.0,10.6,71.0,0.271,1.4385,True,0.0,222.0,53.52711045523735,275.52711045523733,222.0,,76.99874838985892,2190.0,893.1546241688175,21.207324409487903,673.8461538461539,174.09079659045736,174.09079659045736,3498.4965931809143
Wooden Owls Light Garland,4.0,0.0,4,17.0,4.25,C_B,0.8,31.0,8.4,35.91,0.252,2.6959999999999997,True,0.0,124.0,28.278473448049922,152.2784734480499,124.0,,76.23876441594258,1460.0,392.8609965512942,13.992309466210479,224.61538461538464,133.45330908448838,133.4533090844884,4203.066618168976
Blue Stripe Ceramic Drawer Knob,12.0,0.0,24,34.8,1.45,A_A,0.95,17.0,4.5,52.7,0.279,0.856675,True,0.0,204.0,88.8220958553795,292.82209585537953,204.0,,76.09166896690724,4380.0,1389.7836956985657,16.499715108750095,1347.6923076923078,166.08771617800338,166.08771617800335,4084.4119323560067
Camo Stationery,108.0,0.0,108,8.64,0.08,A_C,0.95,20.0,4.8,33.8,0.259,0.08915,True,0.0,2160.0,852.6921202116431,3012.692120211643,2160.0,,76.01750251686798,39420.0,10742.889338958084,14.171239107707265,6064.615384615385,124.02585170157066,124.02585170157066,3762.344703403141
Doormat Keep Calm And Come In,6.0,0.0,6,49.5,8.25,C_A,0.8,18.0,2.9,76.27,0.246,5.1727,True,0.0,108.0,14.644209464168707,122.64420946416871,108.0,,75.75010229530547,2190.0,512.3747614984923,12.165976072110318,336.92307692307696,325.9943942427998,325.99439424279984,11980.2017884856
Gingerbread Man Cookie Cutter,18.0,8.48528137423857,36,45.0,1.25,A_A,0.95,17.0,2.9,74.04,0.3,0.73,True,57.546374236895105,363.5463742368951,103.36226687370072,409.3622668737007,306.0,79.61560262372073,75.45445481780152,6570.0,2107.700168430036,16.681949582703478,2021.5384615384617,230.7931684430889,230.79316844308892,5257.686336886178
Red Gingham Rose Jewellery Box,8.0,0.0,16,31.2,1.95,A_A,0.95,19.0,4.5,55.13,0.23500000000000001,1.2618142857142856,True,0.0,152.0,59.214730570252996,211.21473057025298,152.0,,74.71799295826766,2920.0,1042.0025185431484,18.55620923433004,898.4615384615386,154.49060547864116,154.49060547864113,3993.478925242996
Enchanted Bird Coathanger Hook,8.0,0.0,8,37.2,4.65,B_A,0.7,32.0,6.1,76.45,0.281,2.9062,True,0.0,256.0,25.590745020152383,281.5907450201524,256.0,,74.37182317756685,2920.0,739.3996816647867,13.167391591290722,449.2307692307693,301.9124913570156,301.9124913570156,9089.928982714033
Dolly Girl Beaker,12.0,0.0,24,30.0,1.25,A_A,0.95,24.0,4.6,50.55,0.296,0.8125,True,0.0,288.0,90.79592020772125,378.7959202077212,288.0,,73.77168516877352,4380.0,1356.922652636872,16.10958400390807,1347.6923076923078,163.16994897958384,163.16994897958386,3885.0898979591675
Colouring Pencils Doily,16.0,0.0,32,30.4,0.95,A_A,0.95,20.5,5.5,45.405,0.2395,0.50725,True,0.0,328.0,144.74711917172957,472.74711917172954,328.0,,73.42297619985982,5840.0,2089.341711906691,18.603727571771906,1796.9230769230771,126.9132753579191,126.91327535791912,3216.1665507158377
Spaceboy Beaker,12.0,0.0,48,60.0,1.25,A_A,0.95,23.0,4.9,50.19,0.298,0.7575,True,0.0,276.0,96.71739326474658,372.7173932647466,276.0,,73.26342539804553,4380.0,1395.6007697066789,16.568776261357833,1347.6923076923078,157.51796987486853,157.51796987486856,3632.885939749737
Woodland Charlotte Bag,13.75,10.606601717798213,110,93.5,0.85,A_A,0.95,18.0,4.3,62.23,0.246,0.5988583333333334,True,74.01841321281624,321.51841321281626,122.2156753379603,369.7156753379603,247.5,65.11523286316377,73.18987564009869,5018.75,2059.126735304323,21.334912126689872,1544.2307692307693,151.67440019365392,151.67440019365395,3308.869060803975
Skull Lunch Box With Cutlery,6.0,0.0,12,30.599999999999998,2.55,A_A,0.95,14.0,4.2,61.5,0.227,1.75315,True,0.0,84.0,41.450311399177096,125.4503113991771,84.0,,72.66861342946733,2190.0,822.7201734507221,19.534908228053673,673.8461538461539,163.70693748166264,163.70693748166264,4166.812374963325
Raffia Ribbons S Christmas,10.0,0.0,20,15.8,0.79,A_B,0.95,37.0,10.0,54.06,0.299,0.4416,True,0.0,370.0,164.48536269514722,534.4853626951472,370.0,,72.63673616617702,3650.0,1728.818193304169,24.629738644333365,1123.076923076923,114.1351940673866,114.13519406738659,1840.110388134773
World War Gliders Asstd,48.0,0.0,48,13.919999999999998,0.29,A_B,0.95,16.0,5.2,75.06,0.278,0.1766,True,0.0,768.0,410.55546528708743,1178.5554652870874,768.0,,72.50409516969964,17520.0,7319.283703326769,21.723901402568035,5390.769230769231,179.66938477904355,179.66938477904355,3453.3707695580874
Home Sweet Home Peg Hanger,8.0,0.0,8,30.0,3.75,B_A,0.7,22.0,7.1,35.97,0.245,2.43,True,0.0,176.0,29.78594912181671,205.7859491218167,176.0,,72.37985636601461,2920.0,594.0054962746004,10.578180070643569,449.2307692307693,176.82058610354167,176.8205861035417,7449.241172207084
Pancake Day Magnets,12.0,0.0,12,24.96,2.08,B_A,0.7,25.0,8.2,52.05,0.241,1.4019,True,0.0,300.0,51.6010104504712,351.6010104504712,300.0,,72.33945655051558,4380.0,1161.7037221227845,13.791916335704292,673.8461538461539,196.24538998929376,196.24538998929376,6532.812779978588
Mini Jigsaw Spaceboy,24.0,0.0,24,10.08,0.42,A_C,0.95,22.0,7.400000000000001,49.45000000000001,0.269,0.2461,True,0.0,528.0,292.1260041465815,820.1260041465815,528.0,,71.89220962047372,8760.0,3617.580899985432,21.47422452046147,2695.3846153846157,119.74355570092283,119.74355570092281,2395.323111401846
Childrens Apron Apples,6.5,3.0,26,50.7,1.9500000000000002,A_A,0.95,29.0,4.7,62.22,0.306,1.2577,True,26.57342359423984,215.07342359423984,56.8439733928302,245.3439733928302,188.5,113.91287122353297,71.49266533616255,2372.5,875.8583366764465,19.196895050442663,730.0,168.53975559580888,168.5397555958089,3320.972761191618
Landmark Frame London Bridge,3.0,0.0,3,37.5,12.5,C_A,0.8,18.0,3.5,31.49,0.293,8.075,True,0.0,54.0,8.8370229525156,62.837022952515596,54.0,,71.35896034156346,1095.0,170.72743362415804,8.107604153841296,168.46153846153848,201.96841988445865,201.96841988445863,9246.061839768918
Pencils Tube Red Retrospot,16.0,0.0,16,20.0,1.25,A_A,0.95,13.0,3.7999999999999994,69.91,0.224,0.7112000000000002,True,0.0,208.0,100.0071005186495,308.0071005186495,208.0,,71.12504988886354,5840.0,2263.9727191562447,20.158661197966563,1796.9230769230771,180.3353885607592,180.3353885607592,4514.07877712152
